"Size","Dia"
"M1",1
"M1.2",1.2
"M1.4",1.4
"M1.6",1.6
"M1.8",1.8
"M2",2
"M2.5",2.5
"M3",3
"M3.5",3.5
"M4",4
"M5",5
"M6",6
"M7",7
"M8",8
"M8x1",8
"M10",10
"M10x1",10
"M10x1.25",10
"M12",12
"M12x1",12
"M12x1.25",12
"M14",14
"M14x1.5",14
"M16",16
"M16x1.5",16
"M18",18
"M18x1.5",18
"M18x2",18
"M20",20
"M20x1.5",20
"M20x2",20
"M22",22
"M22x1.5",22
"M22x2",22
"M24",24
"M24x2",24
"M27",27
"M27x2",27
"M30",30
"M30x2",30
"M33",33
"M33x2",33
"M36",36
"M36x3",36
"M39",39
"M39x3",39
"M42",42
"M42x3",42
"M45",45
"M45x3",45
"M48",48
"M48x3",48
"M52",52
"M52x3",52
"M56",56
"M56x4",56
"M60",60
"M60x4",60
"M64",64
"M64x4",64
"M68",68
"M68x4",68
"M72",72
"M72x6",72
"M72x4",72
"M76",76
"M76x6",76
"M76x4",76
"M80",80
"M80x6",80
"M80x4",80
"M85",85
"M85x6",85
"M85x4",85
"M90",90
"M90x6",90
"M90x4",90
"M100",100
"M100x6",100
"M100x4",100
"M110x6",110
"M110x4",110
"M125x6",125
"M125x4",125
"M140x6",140
"M160x6",160
"#0",1.524
"#1",1.8542
"#2",2.1844
"#3",2.5164
"#4",2.8448
"#5",3.175
"#6",3.5052
"#8",4.1656
"#10",4.826
"#12",5.4864
"1/4in",6.35
"5/16in",7.9375
"3/8in",9.525
"7/16in",11.1125
"1/2in",12.7
"9/16in",14.2875
"5/8in",15.875
"3/4in",19.05
"7/8in",22.225
"1in",25.4
"1 1/8in",28.575
"1 1/4in",31.75
"1 3/8in",34.925
"1 1/2in",38.1
"1 5/8in",41.275
"1 3/4in",44.45
"1 7/8in",48.1875
"2in",50.8
"2 1/4in",57.15
"2 1/2in",63.5
"2 3/4in",69.85
"3in",76.2
"3 1/4in",82.55
"3 1/2in",88.9
"3 3/4in",95.25
"4in",101.6
"4 1/4in",107.95
"4 1/2in",114.3
"4 3/4in",120.65
"5in",127
"5 1/4in",133.35
"5 1/2in",139.7
"5 3/4in",146.05
"6in",152.4
"1.6 mm",1.6
"2 mm",2
"2.5 mm",2.5
"3 mm",3
"3.5 mm",3.5
"4 mm",4
"4.5 mm",4.5
"5 mm",5
"5.5 mm",5.5
"6 mm",6
"7 mm",7
"8 mm",8
"9 mm",9
"10 mm",10
"12 mm",12
"16 mm",16
"20 mm",20
