"Size","tap_drill"
"#0",1.19126
"#1",1.5113
"#2",1.778
"#3",1.9939
"#4",2.2606
"#5",2.5781
"#6",2.7051
"#8",3.4544
"#10",3.7973
"#12",4.4958
"1/4in",5.1054
"5/16in",6.5278
"3/8in",7.9375
"7/16in",9.3472
"1/2in",10.71626
"9/16in",12.30376
"5/8in",13.49248
"3/4in",16.66748
"7/8in",19.44624
"1in",22.225
"1 1/8in",25.00376
"1 1/4in",28.17876
"1 3/8in",30.95752
"1 1/2in",34.13252
"1 5/8in",37.846
"1 3/4in",41.021
"1 7/8in",44.196
"2in",47.371
"2 1/4in",53.721
"2 1/2in",56.6166
"2 3/4in",62.9666
"3in",69.3166
"3 1/4in",75.6666
"3 1/2in",82.0166
"3 3/4in",88.3666
"4in",94.7166
