"ThreadSize","P","d1_max","d1_min","d2_max","d2_min","d3_max","d3_min","c","r","y_typeC","y_typeF","y_typeR","number_c"
"ST1.5",0.5,1.52,1.38,0.91,0.84,0.79,0.69,0.1,,1.4,1.1,,0
"ST1.9",0.6,1.9,1.76,1.24,1.17,1.12,1.02,0.1,,1.6,1.2,,1
"ST2.2",0.8,2.24,2.1,1.63,1.52,1.47,1.37,0.1,,2,1.6,,2
"ST2.6",0.9,2.57,2.43,1.9,1.8,1.73,1.6,0.1,,2.3,1.8,,3
"ST2.9",1.1,2.9,2.76,2.18,2.08,2.01,1.88,0.1,,2.6,2.1,,4
"ST3.3",1.3,3.3,3.12,2.39,2.29,2.21,2.08,0.1,,3,2.5,,5
"ST3.5",1.3,3.53,3.35,2.64,2.51,2.41,2.26,0.1,0.5,3.2,2.5,2.7,6
"ST3.9",1.3,3.91,3.73,2.92,2.77,2.67,2.51,0.1,0.6,3.5,2.7,3,7
"ST4.2",1.4,4.22,4.04,3.1,2.95,2.84,2.69,0.1,0.6,3.7,2.8,3.2,8
"ST4.8",1.6,4.8,4.62,3.58,3.43,3.3,3.12,0.15,0.7,4.3,3.2,3.6,10
"ST5.5",1.8,5.46,5.28,4.17,3.99,3.86,3.68,0.15,0.8,5,3.6,4.3,12
"ST6.3",1.8,6.25,6.03,4.88,4.7,4.55,4.34,0.15,0.9,6,3.6,5,14
"ST8",2.1,8,7.78,6.2,5.99,5.84,5.64,0.15,1.1,7.5,4.2,6.3,16
"ST9.5",2.1,9.65,9.43,7.85,7.59,7.44,7.24,0.15,1.4,8,4.2,,20
