"Nominal","Min","Max"
"2",1.80,2.20
"2.5",2.30,2.70
"3",2.80,3.20
"4",3.76,4.24
"5",4.76,5.24
"6",5.76,6.24
"7",6.71,7.29
"8",7.71,8.29
"9",8.71,9.29
"10",9.71,10.29
"11",10.65,11.35
"12",11.65,12.35
"14",13.65,14.35
"16",15.65,16.35
"18",17.65,18.35
"20",19.58,20.42
"22",21.58,22.42
"25",24.58,25.42
"28",27.58,28.42
"30",29.58,30.42
"32",31.50,32.50
"35",34.50,35.50
"38",37.50,38.50
"40",39.50,40.50
"45",44.50,45.50
"50",49.50,50.50
"55",54.40,55.60
"60",59.40,60.60
"65",64.40,65.60
"70",69.40,70.60
"75",74.40,75.60
"80",79.40,80.60
"85",84.30,85.70
"90",89.30,90.70
"95",94.30,95.70
"100",99.30,100.70
"105",104.30,105.70
"110",109.30,110.70
"115",114.30,115.70
"120",119.30,120.70
"125",124.20,125.80
"130",129.20,130.80
"140",139.20,140.80
"150",149.20,150.80
"160",159.20,160.80
"170",169.20,170.80
"180",179.20,180.80
"190",189.10,190.90
"200",199.10,200.90
"220",219.10,220.90
"240",239.10,240.90
"260",257.40,262.60
"280",277.40,282.60
"300",297.40,302.60
"320",317.15,322.85
"340",337.15,342.85
"360",357.15,362.85
"380",377.15,382.85
"400",397.15,402.85
"420",416.85,423.15
"440",436.85,443.15
"460",456.85,463.15
"480",476.85,483.15
"500",496.85,503.15
