"Fastener_Type","Min_Dia","Max_Dia"
"ISO4017","M1.6","M64"
"ISO4014","M1.6","M64"
"EN1662","M5","M16"
"EN1665","M5","M20"
"ISO4762","M1.6","M64"
"DIN7984","M3","M24"
"DIN6912","M4","M36"
"ISO2009","M1.6","M10"
"ISO2010","M1.6","M10"
"ISO1580","M1.6","M10"
"ISO7045","M1.6","M10"
"ISO7046","M1.6","M10"
"ISO7047","M1.6","M10"
"ISO1207","M3","M10"
"DIN84","M1","M10"
"ISO7048","M2.5","M8"
"ISO7379","M3","M20"
"ISO7380-1","M3","M16"
"ISO7380-2","M3","M16"
"DIN967","M3","M8"
"ISO10642","M3","M20"
"ISO14579","M2","M20"
"ISO14580","M2","M10"
"ISO14581","M2","M10"
"ISO14582","M3","M10"
"ISO14583","M2","M10"
"ISO14584","M2","M10"
"ISO7089","M1.6","M64"
"ISO7090","M5","M64"
"ISO7091","M1.6","M64"
"ISO7092","M1.6","M36"
"ISO7093-1","M3","M36"
"ISO7094","M5","M36"
"ISO4026","M1.4","M24"
"ISO4027","M1.4","M24"
"ISO4028","M3","M12"
"ISO4029","M1.4","M24"
"ISO4032","M1.6","M64"
"ISO4033","M5","M36"
"ISO4035","M1.6","M64"
"ISO4036","M1.6","M10"
"DIN934","M1","M160x6"
"EN1661","M5","M20"
"ASMEB18.2.1","1/4in","4in"
"DIN571","4 mm","20 mm"
